,filepaths,labels
56,c:\temp\\spiders\train\Black Widow\057.jpg,Black Widow
57,c:\temp\\spiders\train\Black Widow\058.jpg,Black Widow
58,c:\temp\\spiders\train\Black Widow\059.jpg,Black Widow
59,c:\temp\\spiders\train\Black Widow\060.jpg,Black Widow
60,c:\temp\\spiders\train\Black Widow\061.jpg,Black Widow
61,c:\temp\\spiders\train\Black Widow\062.jpg,Black Widow
62,c:\temp\\spiders\train\Black Widow\063.jpg,Black Widow
63,c:\temp\\spiders\train\Black Widow\064.jpg,Black Widow
64,c:\temp\\spiders\train\Black Widow\065.jpg,Black Widow
65,c:\temp\\spiders\train\Black Widow\066.jpg,Black Widow
66,c:\temp\\spiders\train\Black Widow\067.jpg,Black Widow
67,c:\temp\\spiders\train\Black Widow\068.jpg,Black Widow
68,c:\temp\\spiders\train\Black Widow\069.jpg,Black Widow
69,c:\temp\\spiders\train\Black Widow\070.jpg,Black Widow
70,c:\temp\\spiders\train\Black Widow\071.jpg,Black Widow
71,c:\temp\\spiders\train\Black Widow\072.jpg,Black Widow
72,c:\temp\\spiders\train\Black Widow\073.jpg,Black Widow
73,c:\temp\\spiders\train\Black Widow\074.jpg,Black Widow
74,c:\temp\\spiders\train\Black Widow\075.jpg,Black Widow
75,c:\temp\\spiders\train\Black Widow\076.jpg,Black Widow
76,c:\temp\\spiders\train\Black Widow\077.jpg,Black Widow
77,c:\temp\\spiders\train\Black Widow\078.jpg,Black Widow
78,c:\temp\\spiders\train\Black Widow\079.jpg,Black Widow
79,c:\temp\\spiders\train\Black Widow\080.jpg,Black Widow
80,c:\temp\\spiders\train\Black Widow\081.jpg,Black Widow
81,c:\temp\\spiders\train\Black Widow\082.jpg,Black Widow
82,c:\temp\\spiders\train\Black Widow\083.jpg,Black Widow
83,c:\temp\\spiders\train\Black Widow\084.jpg,Black Widow
84,c:\temp\\spiders\train\Black Widow\085.jpg,Black Widow
85,c:\temp\\spiders\train\Black Widow\086.jpg,Black Widow
86,c:\temp\\spiders\train\Black Widow\087.jpg,Black Widow
87,c:\temp\\spiders\train\Black Widow\088.jpg,Black Widow
88,c:\temp\\spiders\train\Black Widow\089.jpg,Black Widow
89,c:\temp\\spiders\train\Black Widow\090.jpg,Black Widow
90,c:\temp\\spiders\train\Black Widow\091.jpg,Black Widow
91,c:\temp\\spiders\train\Black Widow\092.jpg,Black Widow
92,c:\temp\\spiders\train\Black Widow\093.jpg,Black Widow
93,c:\temp\\spiders\train\Black Widow\094.jpg,Black Widow
94,c:\temp\\spiders\train\Black Widow\095.jpg,Black Widow
95,c:\temp\\spiders\train\Black Widow\096.jpg,Black Widow
96,c:\temp\\spiders\train\Black Widow\097.jpg,Black Widow
97,c:\temp\\spiders\train\Black Widow\098.jpg,Black Widow
98,c:\temp\\spiders\train\Black Widow\099.jpg,Black Widow
99,c:\temp\\spiders\train\Black Widow\100.jpg,Black Widow
100,c:\temp\\spiders\train\Black Widow\101.jpg,Black Widow
101,c:\temp\\spiders\train\Black Widow\102.jpg,Black Widow
102,c:\temp\\spiders\train\Black Widow\103.jpg,Black Widow
103,c:\temp\\spiders\train\Black Widow\104.jpg,Black Widow
104,c:\temp\\spiders\train\Black Widow\105.jpg,Black Widow
105,c:\temp\\spiders\train\Black Widow\106.jpg,Black Widow
106,c:\temp\\spiders\train\Black Widow\107.jpg,Black Widow
107,c:\temp\\spiders\train\Black Widow\108.jpg,Black Widow
108,c:\temp\\spiders\train\Black Widow\109.jpg,Black Widow
109,c:\temp\\spiders\train\Black Widow\110.jpg,Black Widow
110,c:\temp\\spiders\train\Black Widow\111.jpg,Black Widow
111,c:\temp\\spiders\train\Black Widow\112.jpg,Black Widow
112,c:\temp\\spiders\train\Black Widow\113.jpg,Black Widow
113,c:\temp\\spiders\train\Black Widow\114.jpg,Black Widow
114,c:\temp\\spiders\train\Black Widow\115.jpg,Black Widow
115,c:\temp\\spiders\train\Black Widow\116.jpg,Black Widow
116,c:\temp\\spiders\train\Black Widow\117.jpg,Black Widow
117,c:\temp\\spiders\train\Black Widow\118.jpg,Black Widow
118,c:\temp\\spiders\train\Black Widow\119.jpg,Black Widow
119,c:\temp\\spiders\train\Black Widow\120.jpg,Black Widow
120,c:\temp\\spiders\train\Black Widow\121.jpg,Black Widow
121,c:\temp\\spiders\train\Black Widow\122.jpg,Black Widow
122,c:\temp\\spiders\train\Blue Tarantula\001.jpg,Blue Tarantula
123,c:\temp\\spiders\train\Blue Tarantula\002.jpg,Blue Tarantula
124,c:\temp\\spiders\train\Blue Tarantula\003.jpg,Blue Tarantula
125,c:\temp\\spiders\train\Blue Tarantula\004.jpg,Blue Tarantula
126,c:\temp\\spiders\train\Blue Tarantula\005.jpg,Blue Tarantula
127,c:\temp\\spiders\train\Blue Tarantula\006.jpg,Blue Tarantula
128,c:\temp\\spiders\train\Blue Tarantula\007.jpg,Blue Tarantula
129,c:\temp\\spiders\train\Blue Tarantula\008.jpg,Blue Tarantula
130,c:\temp\\spiders\train\Blue Tarantula\009.jpg,Blue Tarantula
131,c:\temp\\spiders\train\Blue Tarantula\010.jpg,Blue Tarantula
132,c:\temp\\spiders\train\Blue Tarantula\011.jpg,Blue Tarantula
133,c:\temp\\spiders\train\Blue Tarantula\012.jpg,Blue Tarantula
134,c:\temp\\spiders\train\Blue Tarantula\013.jpg,Blue Tarantula
135,c:\temp\\spiders\train\Blue Tarantula\014.jpg,Blue Tarantula
136,c:\temp\\spiders\train\Blue Tarantula\015.jpg,Blue Tarantula
137,c:\temp\\spiders\train\Blue Tarantula\016.jpg,Blue Tarantula
138,c:\temp\\spiders\train\Blue Tarantula\017.jpg,Blue Tarantula
139,c:\temp\\spiders\train\Blue Tarantula\018.jpg,Blue Tarantula
140,c:\temp\\spiders\train\Blue Tarantula\019.jpg,Blue Tarantula
141,c:\temp\\spiders\train\Blue Tarantula\020.jpg,Blue Tarantula
142,c:\temp\\spiders\train\Blue Tarantula\021.jpg,Blue Tarantula
143,c:\temp\\spiders\train\Blue Tarantula\022.jpg,Blue Tarantula
144,c:\temp\\spiders\train\Blue Tarantula\023.jpg,Blue Tarantula
145,c:\temp\\spiders\train\Blue Tarantula\024.jpg,Blue Tarantula
146,c:\temp\\spiders\train\Blue Tarantula\025.jpg,Blue Tarantula
147,c:\temp\\spiders\train\Blue Tarantula\026.jpg,Blue Tarantula
148,c:\temp\\spiders\train\Blue Tarantula\027.jpg,Blue Tarantula
149,c:\temp\\spiders\train\Blue Tarantula\028.jpg,Blue Tarantula
150,c:\temp\\spiders\train\Blue Tarantula\029.jpg,Blue Tarantula
151,c:\temp\\spiders\train\Blue Tarantula\030.jpg,Blue Tarantula
152,c:\temp\\spiders\train\Blue Tarantula\031.jpg,Blue Tarantula
153,c:\temp\\spiders\train\Blue Tarantula\032.jpg,Blue Tarantula
154,c:\temp\\spiders\train\Blue Tarantula\033.jpg,Blue Tarantula
155,c:\temp\\spiders\train\Blue Tarantula\034.jpg,Blue Tarantula
156,c:\temp\\spiders\train\Blue Tarantula\035.jpg,Blue Tarantula
157,c:\temp\\spiders\train\Blue Tarantula\036.jpg,Blue Tarantula
158,c:\temp\\spiders\train\Blue Tarantula\037.jpg,Blue Tarantula
159,c:\temp\\spiders\train\Blue Tarantula\038.jpg,Blue Tarantula
160,c:\temp\\spiders\train\Blue Tarantula\039.jpg,Blue Tarantula
161,c:\temp\\spiders\train\Blue Tarantula\040.jpg,Blue Tarantula
162,c:\temp\\spiders\train\Blue Tarantula\041.jpg,Blue Tarantula
163,c:\temp\\spiders\train\Blue Tarantula\042.jpg,Blue Tarantula
164,c:\temp\\spiders\train\Blue Tarantula\043.jpg,Blue Tarantula
165,c:\temp\\spiders\train\Blue Tarantula\044.jpg,Blue Tarantula
166,c:\temp\\spiders\train\Blue Tarantula\045.jpg,Blue Tarantula
167,c:\temp\\spiders\train\Blue Tarantula\046.jpg,Blue Tarantula
168,c:\temp\\spiders\train\Blue Tarantula\047.jpg,Blue Tarantula
169,c:\temp\\spiders\train\Blue Tarantula\048.jpg,Blue Tarantula
170,c:\temp\\spiders\train\Blue Tarantula\049.jpg,Blue Tarantula
171,c:\temp\\spiders\train\Blue Tarantula\050.jpg,Blue Tarantula
172,c:\temp\\spiders\train\Blue Tarantula\051.jpg,Blue Tarantula
173,c:\temp\\spiders\train\Blue Tarantula\052.jpg,Blue Tarantula
174,c:\temp\\spiders\train\Blue Tarantula\053.jpg,Blue Tarantula
175,c:\temp\\spiders\train\Blue Tarantula\054.jpg,Blue Tarantula
176,c:\temp\\spiders\train\Blue Tarantula\055.jpg,Blue Tarantula
177,c:\temp\\spiders\train\Blue Tarantula\056.jpg,Blue Tarantula
178,c:\temp\\spiders\train\Blue Tarantula\057.jpg,Blue Tarantula
179,c:\temp\\spiders\train\Blue Tarantula\058.jpg,Blue Tarantula
180,c:\temp\\spiders\train\Blue Tarantula\059.jpg,Blue Tarantula
181,c:\temp\\spiders\train\Blue Tarantula\060.jpg,Blue Tarantula
182,c:\temp\\spiders\train\Blue Tarantula\061.jpg,Blue Tarantula
183,c:\temp\\spiders\train\Blue Tarantula\062.jpg,Blue Tarantula
184,c:\temp\\spiders\train\Blue Tarantula\063.jpg,Blue Tarantula
185,c:\temp\\spiders\train\Blue Tarantula\064.jpg,Blue Tarantula
186,c:\temp\\spiders\train\Blue Tarantula\065.jpg,Blue Tarantula
187,c:\temp\\spiders\train\Blue Tarantula\066.jpg,Blue Tarantula
188,c:\temp\\spiders\train\Blue Tarantula\067.jpg,Blue Tarantula
189,c:\temp\\spiders\train\Blue Tarantula\068.jpg,Blue Tarantula
190,c:\temp\\spiders\train\Blue Tarantula\069.jpg,Blue Tarantula
191,c:\temp\\spiders\train\Blue Tarantula\070.jpg,Blue Tarantula
192,c:\temp\\spiders\train\Blue Tarantula\071.jpg,Blue Tarantula
193,c:\temp\\spiders\train\Blue Tarantula\072.jpg,Blue Tarantula
194,c:\temp\\spiders\train\Blue Tarantula\073.jpg,Blue Tarantula
195,c:\temp\\spiders\train\Blue Tarantula\074.jpg,Blue Tarantula
196,c:\temp\\spiders\train\Blue Tarantula\075.jpg,Blue Tarantula
197,c:\temp\\spiders\train\Blue Tarantula\076.jpg,Blue Tarantula
198,c:\temp\\spiders\train\Blue Tarantula\077.jpg,Blue Tarantula
199,c:\temp\\spiders\train\Blue Tarantula\078.jpg,Blue Tarantula
200,c:\temp\\spiders\train\Blue Tarantula\079.jpg,Blue Tarantula
201,c:\temp\\spiders\train\Blue Tarantula\080.jpg,Blue Tarantula
202,c:\temp\\spiders\train\Blue Tarantula\081.jpg,Blue Tarantula
203,c:\temp\\spiders\train\Blue Tarantula\082.jpg,Blue Tarantula
204,c:\temp\\spiders\train\Blue Tarantula\083.jpg,Blue Tarantula
205,c:\temp\\spiders\train\Blue Tarantula\084.jpg,Blue Tarantula
206,c:\temp\\spiders\train\Blue Tarantula\085.jpg,Blue Tarantula
207,c:\temp\\spiders\train\Blue Tarantula\086.jpg,Blue Tarantula
208,c:\temp\\spiders\train\Blue Tarantula\087.jpg,Blue Tarantula
209,c:\temp\\spiders\train\Blue Tarantula\088.jpg,Blue Tarantula
210,c:\temp\\spiders\train\Blue Tarantula\089.jpg,Blue Tarantula
211,c:\temp\\spiders\train\Blue Tarantula\090.jpg,Blue Tarantula
212,c:\temp\\spiders\train\Blue Tarantula\091.jpg,Blue Tarantula
213,c:\temp\\spiders\train\Blue Tarantula\092.jpg,Blue Tarantula
214,c:\temp\\spiders\train\Blue Tarantula\093.jpg,Blue Tarantula
215,c:\temp\\spiders\train\Blue Tarantula\094.jpg,Blue Tarantula
216,c:\temp\\spiders\train\Blue Tarantula\095.jpg,Blue Tarantula
217,c:\temp\\spiders\train\Blue Tarantula\096.jpg,Blue Tarantula
218,c:\temp\\spiders\train\Blue Tarantula\097.jpg,Blue Tarantula
219,c:\temp\\spiders\train\Blue Tarantula\098.jpg,Blue Tarantula
220,c:\temp\\spiders\train\Blue Tarantula\099.jpg,Blue Tarantula
221,c:\temp\\spiders\train\Blue Tarantula\100.jpg,Blue Tarantula
222,c:\temp\\spiders\train\Blue Tarantula\101.jpg,Blue Tarantula
223,c:\temp\\spiders\train\Blue Tarantula\102.jpg,Blue Tarantula
224,c:\temp\\spiders\train\Blue Tarantula\103.jpg,Blue Tarantula
225,c:\temp\\spiders\train\Blue Tarantula\104.jpg,Blue Tarantula
226,c:\temp\\spiders\train\Blue Tarantula\105.jpg,Blue Tarantula
227,c:\temp\\spiders\train\Blue Tarantula\106.jpg,Blue Tarantula
228,c:\temp\\spiders\train\Blue Tarantula\107.jpg,Blue Tarantula
229,c:\temp\\spiders\train\Blue Tarantula\108.jpg,Blue Tarantula
230,c:\temp\\spiders\train\Blue Tarantula\109.jpg,Blue Tarantula
231,c:\temp\\spiders\train\Blue Tarantula\110.jpg,Blue Tarantula
232,c:\temp\\spiders\train\Blue Tarantula\111.jpg,Blue Tarantula
233,c:\temp\\spiders\train\Blue Tarantula\112.jpg,Blue Tarantula
234,c:\temp\\spiders\train\Blue Tarantula\113.jpg,Blue Tarantula
235,c:\temp\\spiders\train\Blue Tarantula\114.jpg,Blue Tarantula
236,c:\temp\\spiders\train\Blue Tarantula\115.jpg,Blue Tarantula
237,c:\temp\\spiders\train\Blue Tarantula\116.jpg,Blue Tarantula
238,c:\temp\\spiders\train\Blue Tarantula\117.jpg,Blue Tarantula
239,c:\temp\\spiders\train\Blue Tarantula\118.jpg,Blue Tarantula
240,c:\temp\\spiders\train\Blue Tarantula\119.jpg,Blue Tarantula
241,c:\temp\\spiders\train\Blue Tarantula\120.jpg,Blue Tarantula
242,c:\temp\\spiders\train\Blue Tarantula\121.jpg,Blue Tarantula
243,c:\temp\\spiders\train\Blue Tarantula\122.jpg,Blue Tarantula
244,c:\temp\\spiders\train\Blue Tarantula\123.jpg,Blue Tarantula
245,c:\temp\\spiders\train\Blue Tarantula\124.jpg,Blue Tarantula
246,c:\temp\\spiders\train\Blue Tarantula\125.jpg,Blue Tarantula
247,c:\temp\\spiders\train\Blue Tarantula\126.jpg,Blue Tarantula
248,c:\temp\\spiders\train\Blue Tarantula\127.jpg,Blue Tarantula
249,c:\temp\\spiders\train\Blue Tarantula\128.jpg,Blue Tarantula
250,c:\temp\\spiders\train\Blue Tarantula\129.jpg,Blue Tarantula
251,c:\temp\\spiders\train\Blue Tarantula\130.jpg,Blue Tarantula
252,c:\temp\\spiders\train\Blue Tarantula\131.jpg,Blue Tarantula
253,c:\temp\\spiders\train\Blue Tarantula\132.jpg,Blue Tarantula
254,c:\temp\\spiders\train\Blue Tarantula\133.jpg,Blue Tarantula
255,c:\temp\\spiders\train\Blue Tarantula\134.jpg,Blue Tarantula
256,c:\temp\\spiders\train\Blue Tarantula\135.jpg,Blue Tarantula
257,c:\temp\\spiders\train\Blue Tarantula\136.jpg,Blue Tarantula
258,c:\temp\\spiders\train\Blue Tarantula\137.jpg,Blue Tarantula
259,c:\temp\\spiders\train\Blue Tarantula\138.jpg,Blue Tarantula
260,c:\temp\\spiders\train\Blue Tarantula\139.jpg,Blue Tarantula
261,c:\temp\\spiders\train\Blue Tarantula\140.jpg,Blue Tarantula
262,c:\temp\\spiders\train\Blue Tarantula\141.jpg,Blue Tarantula
263,c:\temp\\spiders\train\Blue Tarantula\142.jpg,Blue Tarantula
264,c:\temp\\spiders\train\Blue Tarantula\143.jpg,Blue Tarantula
265,c:\temp\\spiders\train\Blue Tarantula\144.jpg,Blue Tarantula
266,c:\temp\\spiders\train\Blue Tarantula\145.jpg,Blue Tarantula
267,c:\temp\\spiders\train\Blue Tarantula\146.jpg,Blue Tarantula
268,c:\temp\\spiders\train\Blue Tarantula\147.jpg,Blue Tarantula
269,c:\temp\\spiders\train\Blue Tarantula\148.jpg,Blue Tarantula
270,c:\temp\\spiders\train\Blue Tarantula\149.jpg,Blue Tarantula
271,c:\temp\\spiders\train\Blue Tarantula\150.jpg,Blue Tarantula
272,c:\temp\\spiders\train\Blue Tarantula\151.jpg,Blue Tarantula
273,c:\temp\\spiders\train\Blue Tarantula\152.jpg,Blue Tarantula
274,c:\temp\\spiders\train\Blue Tarantula\153.jpg,Blue Tarantula
275,c:\temp\\spiders\train\Blue Tarantula\154.jpg,Blue Tarantula
276,c:\temp\\spiders\train\Blue Tarantula\155.jpg,Blue Tarantula
277,c:\temp\\spiders\train\Blue Tarantula\156.jpg,Blue Tarantula
278,c:\temp\\spiders\train\Blue Tarantula\157.jpg,Blue Tarantula
279,c:\temp\\spiders\train\Blue Tarantula\158.jpg,Blue Tarantula
280,c:\temp\\spiders\train\Blue Tarantula\159.jpg,Blue Tarantula
281,c:\temp\\spiders\train\Blue Tarantula\160.jpg,Blue Tarantula
282,c:\temp\\spiders\train\Bold Jumper\001.jpg,Bold Jumper
283,c:\temp\\spiders\train\Bold Jumper\002.jpg,Bold Jumper
284,c:\temp\\spiders\train\Bold Jumper\003.jpg,Bold Jumper
285,c:\temp\\spiders\train\Bold Jumper\004.jpg,Bold Jumper
286,c:\temp\\spiders\train\Bold Jumper\005.jpg,Bold Jumper
287,c:\temp\\spiders\train\Bold Jumper\006.jpg,Bold Jumper
288,c:\temp\\spiders\train\Bold Jumper\007.jpg,Bold Jumper
289,c:\temp\\spiders\train\Bold Jumper\008.jpg,Bold Jumper
290,c:\temp\\spiders\train\Bold Jumper\009.jpg,Bold Jumper
291,c:\temp\\spiders\train\Bold Jumper\010.jpg,Bold Jumper
292,c:\temp\\spiders\train\Bold Jumper\011.jpg,Bold Jumper
293,c:\temp\\spiders\train\Bold Jumper\012.jpg,Bold Jumper
294,c:\temp\\spiders\train\Bold Jumper\013.jpg,Bold Jumper
295,c:\temp\\spiders\train\Bold Jumper\014.jpg,Bold Jumper
296,c:\temp\\spiders\train\Bold Jumper\015.jpg,Bold Jumper
297,c:\temp\\spiders\train\Bold Jumper\016.jpg,Bold Jumper
298,c:\temp\\spiders\train\Bold Jumper\017.jpg,Bold Jumper
299,c:\temp\\spiders\train\Bold Jumper\018.jpg,Bold Jumper
300,c:\temp\\spiders\train\Bold Jumper\019.jpg,Bold Jumper
301,c:\temp\\spiders\train\Bold Jumper\020.jpg,Bold Jumper
302,c:\temp\\spiders\train\Bold Jumper\021.jpg,Bold Jumper
303,c:\temp\\spiders\train\Bold Jumper\022.jpg,Bold Jumper
304,c:\temp\\spiders\train\Bold Jumper\023.jpg,Bold Jumper
305,c:\temp\\spiders\train\Bold Jumper\024.jpg,Bold Jumper
306,c:\temp\\spiders\train\Bold Jumper\025.jpg,Bold Jumper
307,c:\temp\\spiders\train\Bold Jumper\026.jpg,Bold Jumper
308,c:\temp\\spiders\train\Bold Jumper\027.jpg,Bold Jumper
309,c:\temp\\spiders\train\Bold Jumper\028.jpg,Bold Jumper
310,c:\temp\\spiders\train\Bold Jumper\029.jpg,Bold Jumper
311,c:\temp\\spiders\train\Bold Jumper\030.jpg,Bold Jumper
312,c:\temp\\spiders\train\Bold Jumper\031.jpg,Bold Jumper
313,c:\temp\\spiders\train\Bold Jumper\032.jpg,Bold Jumper
314,c:\temp\\spiders\train\Bold Jumper\033.jpg,Bold Jumper
315,c:\temp\\spiders\train\Bold Jumper\034.jpg,Bold Jumper
316,c:\temp\\spiders\train\Bold Jumper\035.jpg,Bold Jumper
317,c:\temp\\spiders\train\Bold Jumper\036.jpg,Bold Jumper
318,c:\temp\\spiders\train\Bold Jumper\037.jpg,Bold Jumper
319,c:\temp\\spiders\train\Bold Jumper\038.jpg,Bold Jumper
320,c:\temp\\spiders\train\Bold Jumper\039.jpg,Bold Jumper
321,c:\temp\\spiders\train\Bold Jumper\040.jpg,Bold Jumper
322,c:\temp\\spiders\train\Bold Jumper\041.jpg,Bold Jumper
323,c:\temp\\spiders\train\Bold Jumper\042.jpg,Bold Jumper
324,c:\temp\\spiders\train\Bold Jumper\043.jpg,Bold Jumper
325,c:\temp\\spiders\train\Bold Jumper\044.jpg,Bold Jumper
326,c:\temp\\spiders\train\Bold Jumper\045.jpg,Bold Jumper
327,c:\temp\\spiders\train\Bold Jumper\046.jpg,Bold Jumper
328,c:\temp\\spiders\train\Bold Jumper\047.jpg,Bold Jumper
329,c:\temp\\spiders\train\Bold Jumper\048.jpg,Bold Jumper
330,c:\temp\\spiders\train\Bold Jumper\049.jpg,Bold Jumper
331,c:\temp\\spiders\train\Bold Jumper\050.jpg,Bold Jumper
332,c:\temp\\spiders\train\Bold Jumper\051.jpg,Bold Jumper
333,c:\temp\\spiders\train\Bold Jumper\052.jpg,Bold Jumper
334,c:\temp\\spiders\train\Bold Jumper\053.jpg,Bold Jumper
335,c:\temp\\spiders\train\Bold Jumper\054.jpg,Bold Jumper
336,c:\temp\\spiders\train\Bold Jumper\055.jpg,Bold Jumper
337,c:\temp\\spiders\train\Bold Jumper\056.jpg,Bold Jumper
338,c:\temp\\spiders\train\Bold Jumper\057.jpg,Bold Jumper
339,c:\temp\\spiders\train\Bold Jumper\058.jpg,Bold Jumper
340,c:\temp\\spiders\train\Bold Jumper\059.jpg,Bold Jumper
341,c:\temp\\spiders\train\Bold Jumper\060.jpg,Bold Jumper
342,c:\temp\\spiders\train\Bold Jumper\061.jpg,Bold Jumper
343,c:\temp\\spiders\train\Bold Jumper\062.jpg,Bold Jumper
344,c:\temp\\spiders\train\Bold Jumper\063.jpg,Bold Jumper
345,c:\temp\\spiders\train\Bold Jumper\064.jpg,Bold Jumper
346,c:\temp\\spiders\train\Bold Jumper\065.jpg,Bold Jumper
347,c:\temp\\spiders\train\Bold Jumper\066.jpg,Bold Jumper
348,c:\temp\\spiders\train\Bold Jumper\067.jpg,Bold Jumper
349,c:\temp\\spiders\train\Bold Jumper\068.jpg,Bold Jumper
350,c:\temp\\spiders\train\Bold Jumper\069.jpg,Bold Jumper
351,c:\temp\\spiders\train\Bold Jumper\070.jpg,Bold Jumper
352,c:\temp\\spiders\train\Bold Jumper\071.jpg,Bold Jumper
353,c:\temp\\spiders\train\Bold Jumper\072.jpg,Bold Jumper
354,c:\temp\\spiders\train\Bold Jumper\073.jpg,Bold Jumper
355,c:\temp\\spiders\train\Bold Jumper\074.jpg,Bold Jumper
356,c:\temp\\spiders\train\Bold Jumper\075.jpg,Bold Jumper
357,c:\temp\\spiders\train\Bold Jumper\076.jpg,Bold Jumper
358,c:\temp\\spiders\train\Bold Jumper\077.jpg,Bold Jumper
359,c:\temp\\spiders\train\Bold Jumper\078.jpg,Bold Jumper
360,c:\temp\\spiders\train\Bold Jumper\079.jpg,Bold Jumper
361,c:\temp\\spiders\train\Bold Jumper\080.jpg,Bold Jumper
362,c:\temp\\spiders\train\Bold Jumper\081.jpg,Bold Jumper
363,c:\temp\\spiders\train\Bold Jumper\082.jpg,Bold Jumper
364,c:\temp\\spiders\train\Bold Jumper\083.jpg,Bold Jumper
365,c:\temp\\spiders\train\Bold Jumper\084.jpg,Bold Jumper
366,c:\temp\\spiders\train\Bold Jumper\085.jpg,Bold Jumper
367,c:\temp\\spiders\train\Bold Jumper\086.jpg,Bold Jumper
368,c:\temp\\spiders\train\Bold Jumper\087.jpg,Bold Jumper
369,c:\temp\\spiders\train\Bold Jumper\088.jpg,Bold Jumper
370,c:\temp\\spiders\train\Bold Jumper\089.jpg,Bold Jumper
371,c:\temp\\spiders\train\Bold Jumper\090.jpg,Bold Jumper
372,c:\temp\\spiders\train\Bold Jumper\091.jpg,Bold Jumper
373,c:\temp\\spiders\train\Bold Jumper\092.jpg,Bold Jumper
374,c:\temp\\spiders\train\Bold Jumper\093.jpg,Bold Jumper
375,c:\temp\\spiders\train\Bold Jumper\094.jpg,Bold Jumper
376,c:\temp\\spiders\train\Bold Jumper\095.jpg,Bold Jumper
377,c:\temp\\spiders\train\Bold Jumper\096.jpg,Bold Jumper
378,c:\temp\\spiders\train\Bold Jumper\097.jpg,Bold Jumper
379,c:\temp\\spiders\train\Bold Jumper\098.jpg,Bold Jumper
380,c:\temp\\spiders\train\Bold Jumper\099.jpg,Bold Jumper
381,c:\temp\\spiders\train\Bold Jumper\100.jpg,Bold Jumper
